id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction,Sleep Duration,Dietary Habits,Degree,Work/Study Hours,Financial Stress
421,1,18,5,11,3,0,6,4,0,1,1,11,6,4
423,0,31,15,11,1,0,7,4,0,2,3,14,7,1
425,0,25,17,11,3,0,9,5,0,1,0,9,9,2
429,1,20,45,11,1,0,9,4,0,0,3,11,3,3
441,1,31,11,11,2,0,7,1,0,1,3,25,0,1
447,1,24,45,11,5,0,5,1,0,1,3,22,6,3
454,1,24,24,11,5,0,8,2,0,2,3,3,8,4
455,0,23,40,11,5,0,6,2,0,0,0,25,0,3
457,0,25,49,11,2,0,9,1,0,3,1,10,7,3
464,1,25,44,11,2,0,5,3,0,3,3,10,5,5
467,0,25,11,11,1,0,7,2,0,3,1,0,7,1
475,0,28,17,11,2,0,6,1,0,0,3,8,4,5
477,0,20,2,11,4,0,6,4,0,3,3,11,12,5
484,0,24,9,11,1,0,7,5,0,2,1,13,6,5
487,1,23,25,11,1,0,9,4,0,0,1,4,12,3
491,1,19,39,11,3,0,9,1,0,3,1,11,1,5
494,0,24,14,11,3,0,6,3,0,2,0,21,11,4
503,0,34,45,11,2,0,8,5,0,3,3,10,1,2
508,0,25,11,11,2,0,7,4,0,0,0,0,8,4
509,1,28,37,11,1,0,8,2,0,1,3,6,3,4
510,0,27,5,11,3,0,8,1,0,3,0,6,4,4
522,1,22,39,11,2,0,9,4,0,3,0,10,0,2
523,1,27,21,11,4,0,6,1,0,0,0,9,10,4
525,0,34,14,11,3,0,5,3,0,1,3,4,7,4
529,1,22,33,11,4,0,6,4,0,0,1,1,10,3
530,1,23,24,11,3,0,7,2,0,3,3,14,11,3
534,1,24,17,11,3,0,9,1,0,2,0,16,9,1
535,1,21,8,11,5,0,8,1,0,3,1,0,9,3
538,1,26,50,11,4,0,9,2,0,2,3,10,11,5
539,0,24,21,11,5,0,8,1,0,0,1,7,12,5
541,1,34,21,11,2,0,7,5,0,2,1,25,7,1
543,0,29,1,11,5,0,5,1,0,2,3,23,11,1
556,1,33,51,11,1,0,8,3,0,0,3,20,10,3
580,1,21,38,11,1,0,8,3,0,0,0,7,10,3
587,0,33,8,11,2,0,5,5,0,2,3,10,12,1
589,1,28,24,11,4,0,7,2,0,3,0,19,6,5
592,1,27,16,11,2,0,8,1,0,0,3,21,8,4
594,1,33,29,11,2,0,9,4,0,2,1,17,0,2
595,0,18,8,11,5,0,9,5,0,2,3,11,10,5
598,0,20,21,11,5,0,5,4,0,2,1,11,12,3
608,0,19,32,11,3,0,6,4,0,2,3,11,12,3
609,1,21,2,2,5,0,7,1,0,0,0,25,11,3
611,1,32,50,11,2,0,8,1,0,2,3,4,12,4
617,1,32,8,11,3,0,5,2,0,1,1,12,7,4
620,1,33,40,11,3,0,9,1,0,2,0,22,5,1
623,0,23,3,11,5,0,5,1,0,2,3,21,11,4
626,1,24,17,11,3,0,7,4,0,2,3,14,10,4
632,0,20,44,11,4,0,8,3,0,3,3,11,6,4
658,0,24,2,11,5,0,8,2,0,2,1,0,4,3
660,1,22,6,11,5,0,8,1,0,2,3,21,8,1
662,1,26,37,11,5,0,6,4,0,3,3,7,11,2
668,0,18,50,11,5,0,9,4,0,3,3,11,3,5
671,1,26,50,11,3,0,7,3,0,1,3,22,9,5
673,1,33,24,11,1,0,5,1,0,3,3,22,9,3
676,0,19,51,11,3,0,5,1,0,0,1,11,10,5
681,1,26,16,11,3,0,5,3,0,1,0,25,12,1
683,0,34,24,11,3,0,7,2,0,2,1,8,3,4
687,0,22,39,11,1,0,6,4,0,1,0,7,10,5
688,0,28,45,11,2,0,8,3,0,2,3,4,7,4
695,1,31,24,11,5,0,9,5,0,2,3,12,12,2
696,0,18,49,11,3,0,9,4,0,3,0,11,9,2
697,1,32,46,11,2,0,9,3,0,0,3,17,0,5
701,0,19,16,11,3,0,5,4,0,3,3,11,11,5
707,1,20,32,11,5,0,8,2,0,3,3,11,1,3
708,1,28,33,11,2,0,7,2,0,0,3,7,2,5
709,1,19,5,11,2,0,8,4,0,2,0,11,10,4
710,1,34,39,11,3,0,8,1,0,3,1,4,3,1
712,1,20,48,11,3,0,8,5,0,2,3,11,6,2
713,1,18,45,11,1,0,5,5,0,3,1,11,12,2
714,0,29,38,11,3,0,8,5,0,1,1,7,10,5
716,1,24,21,11,1,0,9,4,0,2,1,17,1,1
724,1,33,16,11,4,0,7,3,0,0,0,10,1,5
728,1,34,37,11,1,0,6,4,0,2,1,4,10,4
733,0,29,1,11,1,0,9,2,0,1,1,1,9,2
735,1,27,24,11,4,0,7,2,0,0,3,1,10,2
737,0,31,44,11,3,0,9,2,0,2,3,22,9,1
744,1,30,25,11,5,0,5,3,0,2,1,4,4,1
746,0,31,46,11,4,0,8,2,0,2,1,18,8,2
749,1,26,40,11,2,0,6,5,0,0,0,0,12,3
750,1,21,38,11,4,0,5,1,0,2,3,2,9,4
754,0,34,24,11,3,0,5,3,0,2,1,2,3,1
758,1,24,32,11,1,0,5,2,0,3,1,1,11,1
759,1,21,49,11,3,0,8,2,0,0,3,1,9,3
763,0,31,33,11,5,0,6,2,0,0,3,4,9,3
764,1,20,24,11,5,0,5,4,0,3,3,11,11,5
770,1,34,18,11,4,0,7,3,0,0,1,13,12,1
774,0,30,25,11,4,0,5,5,0,2,0,14,4,3
777,1,30,45,11,1,0,5,5,0,1,3,15,12,4
779,1,20,3,11,5,0,9,1,0,0,0,11,11,2
781,0,22,16,11,1,0,9,1,0,1,1,1,12,3
785,1,18,1,11,5,0,5,4,0,3,0,11,9,2
793,0,27,39,11,3,0,5,4,0,2,0,27,6,5
796,1,26,29,11,5,0,5,3,0,1,1,8,10,2
804,1,24,25,11,5,0,5,5,0,1,0,3,5,3
811,0,28,50,11,2,0,8,4,0,0,0,10,2,5
813,0,24,39,11,3,0,8,2,0,1,3,0,0,4
814,0,32,46,11,1,0,8,3,0,0,3,5,4,4
821,0,21,38,11,5,0,5,1,0,1,0,20,11,4
823,1,19,51,11,3,0,6,5,0,1,1,11,12,1
825,0,24,14,11,2,0,9,4,0,1,1,15,11,1
831,0,26,11,11,1,0,5,4,0,1,0,0,8,5
832,0,20,44,11,2,0,8,3,0,3,3,11,4,3
836,1,19,18,11,3,0,7,5,0,2,1,11,8,3
839,1,32,14,11,4,0,7,2,0,3,1,20,7,2
843,0,23,5,11,5,0,5,2,0,0,1,2,2,3
847,0,23,50,11,4,0,8,1,0,2,1,17,10,3
852,1,29,50,11,3,0,8,2,0,1,1,21,8,5
854,0,29,2,11,3,0,6,4,0,1,1,2,8,2
861,0,27,44,11,1,0,9,2,0,1,3,18,4,4
862,0,33,9,11,5,0,8,4,0,3,1,11,9,1
863,0,33,38,11,2,0,8,1,0,3,3,25,8,2
875,1,31,9,11,4,0,8,5,0,2,1,12,12,2
877,1,25,37,11,4,0,9,4,0,1,1,2,10,5
882,0,29,39,11,1,0,9,5,0,2,0,13,6,4
897,0,18,46,11,4,0,8,4,0,3,0,11,11,4
907,0,18,48,11,1,0,5,5,0,1,0,11,7,4
910,1,22,21,11,1,0,7,3,0,2,1,25,11,4
912,1,24,11,11,5,0,8,1,0,0,1,10,5,4
918,1,24,21,11,3,0,9,5,0,1,3,2,11,5
923,1,30,5,11,4,0,8,5,0,1,3,11,11,2
926,1,33,44,11,3,0,7,5,0,0,1,27,7,1
935,1,34,17,11,1,0,9,3,0,3,0,17,8,3
941,1,32,5,11,4,0,6,1,0,1,1,21,7,1
947,1,33,18,11,2,0,9,3,0,1,0,18,11,4
949,0,20,39,11,5,0,6,2,0,3,0,11,7,5
953,0,25,1,11,2,0,9,1,0,3,3,3,10,5
955,1,24,14,11,5,0,9,2,0,1,0,4,8,4
956,1,23,1,11,4,0,9,2,0,2,0,1,7,2
965,0,30,21,11,1,0,8,3,0,2,1,15,12,1
978,0,39,17,11,5,0,6,4,0,1,1,17,7,2
984,1,22,3,11,1,0,7,5,0,1,3,8,9,5
991,1,23,38,11,5,0,8,1,0,0,3,1,6,3
995,1,31,24,11,1,0,9,1,0,3,1,17,2,3
997,1,20,32,11,1,0,8,1,0,2,3,11,10,1
1003,1,20,6,11,2,0,8,2,0,0,3,11,10,5
1006,1,32,17,11,5,0,9,1,0,0,3,10,4,4
1012,0,22,1,11,4,0,5,2,0,2,3,9,8,4
1015,0,27,16,11,3,0,8,1,0,2,3,10,7,1
1022,0,18,2,11,3,0,6,5,0,1,1,11,5,4
1029,0,28,9,11,4,0,9,2,0,1,1,1,2,1
1032,0,22,45,11,3,0,6,1,0,2,0,7,4,5
1047,0,20,6,11,5,0,7,1,0,1,3,11,9,3
1049,1,20,25,11,3,0,5,2,0,3,3,11,12,5
1054,1,30,15,11,1,0,6,3,0,1,3,9,7,2
1055,1,18,44,11,1,0,6,5,0,3,1,11,6,4
1065,0,26,37,11,4,0,8,3,0,1,3,20,10,1
1069,1,34,38,11,1,0,9,3,0,3,1,2,12,1
1075,1,20,24,11,5,0,9,5,0,1,0,11,12,3
1079,1,20,44,11,2,0,6,3,0,0,3,11,2,1
1084,0,33,48,11,3,0,7,4,0,3,0,3,6,3
1087,0,20,14,11,3,0,5,2,0,1,3,11,8,5
1091,0,28,17,11,2,0,9,5,0,1,1,15,4,4
1093,0,26,44,11,4,0,7,1,0,2,1,21,0,5
1094,1,25,48,11,3,0,6,3,0,1,1,15,9,5
1105,0,28,2,11,5,0,7,2,0,1,0,20,2,2
1108,0,29,6,11,5,0,8,3,0,2,1,8,4,5
1117,1,34,24,11,3,0,9,4,0,2,0,17,12,3
1126,0,29,11,11,2,0,5,3,0,2,0,14,0,2
1130,0,28,44,11,1,0,6,3,0,2,1,9,5,2
1131,0,33,48,11,1,0,9,5,0,2,1,9,4,5
1134,1,18,50,11,5,0,6,1,0,1,1,11,4,2
1148,1,19,2,11,5,0,7,1,0,0,0,11,10,4
1152,0,27,17,11,3,0,7,1,0,3,3,6,10,1
1154,0,29,39,11,1,0,6,3,0,2,0,8,12,1
1156,0,18,21,11,5,0,5,5,0,1,3,11,9,2
1158,1,27,44,11,5,0,7,5,0,2,0,12,12,5
1165,1,34,18,11,2,0,7,5,0,1,1,11,5,1
1168,0,19,38,11,1,0,5,4,0,1,1,11,5,5
1170,0,30,46,11,5,0,7,3,0,0,3,2,1,1
1177,0,25,50,11,3,0,8,4,0,3,0,9,1,2
1179,0,20,25,11,5,0,8,3,0,2,1,11,7,1
1186,0,20,50,11,5,0,8,2,0,2,1,11,6,5
1187,0,20,45,11,5,0,7,1,0,2,3,11,10,4
1197,0,29,24,11,2,0,9,4,0,0,3,10,0,2
1201,1,24,32,11,1,0,6,2,0,2,1,3,7,1
1213,1,34,14,11,3,0,5,2,0,2,3,16,6,3
1215,1,31,49,11,2,0,8,3,0,1,1,2,2,1
1221,1,23,40,11,2,0,8,4,0,2,3,14,1,4
1222,0,25,48,11,2,0,5,1,0,0,3,9,11,2
1225,0,24,14,11,4,0,8,2,0,0,3,0,8,5
1232,0,25,49,11,2,0,9,2,0,0,1,12,8,1
1240,1,23,1,11,3,0,6,1,0,0,0,0,7,1
1241,1,21,33,11,5,0,6,4,0,1,0,21,10,1
1244,1,22,46,11,1,0,7,3,0,0,1,19,6,1
1252,1,33,5,11,2,0,8,4,0,3,1,7,0,2
1254,1,24,17,11,4,0,9,2,0,2,3,19,5,1
1255,0,25,40,11,4,0,8,3,0,2,0,5,2,1
1263,1,33,1,11,3,0,7,3,0,2,1,12,4,1
1275,1,27,21,11,1,0,7,1,0,2,1,9,12,1
1278,0,31,51,11,3,0,9,3,0,3,0,2,12,2
1286,0,19,15,11,5,0,6,5,0,3,0,11,7,5
1296,1,29,32,11,4,0,9,3,0,3,1,2,11,4
1301,1,23,17,11,3,0,9,1,0,1,1,19,9,5
1305,1,25,40,11,1,0,7,4,0,2,1,20,0,2
1307,1,34,44,11,3,0,6,2,0,0,1,16,4,5
1319,1,18,2,11,5,0,8,1,0,3,3,11,12,5
1324,1,29,14,11,2,0,6,4,0,1,0,19,6,3
1328,0,25,50,11,3,0,7,1,0,2,0,20,11,4
1329,1,29,44,11,3,0,9,4,0,0,3,12,10,1
1334,1,28,29,11,3,0,9,5,0,2,0,20,11,2
1336,0,31,9,11,2,0,9,3,0,0,3,1,3,1
1347,1,30,45,11,3,0,8,3,0,2,3,14,5,3
1348,1,24,11,11,5,0,8,4,0,0,0,13,11,5
1355,1,26,48,11,4,0,8,4,0,0,3,2,7,4
1360,0,29,51,11,2,0,5,2,0,0,1,21,10,2
1361,1,22,25,11,3,0,5,4,0,1,3,14,10,1
1369,0,31,6,11,4,0,6,5,0,0,1,15,10,2
1370,0,29,2,11,4,0,5,4,0,2,1,19,4,1
1373,0,18,32,11,4,0,7,5,0,3,0,11,10,2
1379,0,27,48,11,5,0,6,2,0,1,3,15,10,2
1381,1,32,15,11,3,0,9,5,0,1,1,20,8,1
1384,1,30,8,11,2,0,8,2,0,3,0,22,0,2
1391,1,26,1,11,4,0,9,1,0,0,0,6,7,2
1393,1,28,48,11,4,0,7,1,0,3,3,8,9,4
1396,1,28,49,11,4,0,9,4,0,0,1,9,7,1
1399,0,25,50,11,2,0,9,4,0,1,0,9,9,1
1403,0,33,39,11,2,0,8,4,0,2,0,11,9,3
1411,1,24,21,11,5,0,9,4,0,1,1,16,8,3
1417,0,22,49,11,2,0,9,3,0,3,0,6,10,3
1425,1,34,1,11,1,0,9,5,0,3,1,7,0,5
1428,1,29,44,11,3,0,9,3,3,1,1,16,8,5
1431,1,32,37,11,2,0,8,5,0,2,1,17,5,1
1432,0,31,51,11,5,0,9,5,0,2,1,11,1,1
1439,1,28,50,11,2,0,5,5,0,2,3,7,11,4
1444,1,30,49,11,5,0,7,5,0,0,1,1,12,2
1450,0,26,45,11,1,0,9,3,0,2,3,11,1,5
1453,1,19,21,11,4,0,9,2,0,3,0,11,12,5
1457,0,21,3,11,5,0,8,1,0,3,0,10,12,4
1464,1,22,46,11,4,0,6,3,0,2,3,1,10,2
1467,1,23,46,11,4,0,6,2,0,2,1,1,11,5
1472,0,25,49,11,2,0,5,1,0,2,1,2,12,4
1474,0,24,11,11,3,0,6,4,0,3,1,11,9,1
1475,0,18,21,11,3,0,5,3,0,1,1,11,7,4
1484,0,19,29,11,5,0,6,3,0,2,1,11,10,5
1488,0,30,24,11,3,0,7,3,0,1,1,5,12,2
1493,0,35,29,11,5,0,5,2,0,1,1,27,3,4
1494,0,20,6,11,5,0,5,3,0,1,1,11,4,5
1498,1,20,24,11,3,0,9,2,0,1,1,11,2,4
1499,0,18,39,11,5,0,8,4,0,2,0,11,5,1
1501,0,18,46,11,3,0,8,2,0,3,0,11,10,1
1512,0,30,11,11,2,0,9,3,0,0,1,0,4,2
1513,0,33,25,11,1,0,6,3,0,1,1,19,7,1
1515,0,29,50,11,5,0,9,2,0,0,1,0,12,3
1526,0,28,44,11,1,0,8,4,0,2,3,22,7,3
1528,1,26,40,11,1,0,6,4,0,3,3,6,0,1
1529,1,22,16,11,4,0,9,4,0,3,1,7,9,2
1535,0,28,49,11,5,0,7,4,0,2,1,7,12,2
1536,1,32,44,11,4,0,5,5,0,1,3,23,12,2
1545,0,31,45,11,4,0,8,3,0,1,0,21,11,4
1565,1,20,40,11,4,0,6,3,0,1,3,11,4,2
1580,0,30,11,11,5,0,5,2,0,1,3,20,11,3
1582,1,27,24,11,1,0,6,4,0,2,3,2,2,1
1586,1,26,2,11,4,0,6,3,0,0,1,3,6,1
1589,1,34,50,11,3,0,5,5,0,3,0,13,9,3
1591,0,20,39,11,2,0,5,4,0,0,0,11,10,1
1593,1,22,32,11,3,0,6,1,0,2,0,25,5,2
1600,0,20,25,11,2,0,5,3,0,0,0,11,2,3
1605,0,27,8,11,3,0,9,1,0,1,0,12,2,5
1609,0,25,40,11,3,0,6,2,0,2,3,2,12,4
1616,1,19,8,11,4,0,8,3,0,0,0,11,10,5
1618,1,29,25,11,5,0,7,1,0,3,3,10,10,5
1623,0,18,3,11,3,0,5,2,0,1,0,11,12,1
1629,0,21,46,11,5,0,8,2,0,2,0,2,3,2
1632,0,31,14,11,1,0,8,5,0,2,3,21,10,1
1643,0,33,17,11,4,0,6,1,0,0,1,17,10,4
1647,1,33,3,11,5,0,6,4,0,1,1,17,7,5
1655,1,21,3,11,3,0,5,1,0,3,1,4,8,5
1657,0,21,17,11,5,0,6,1,0,0,1,6,8,5
1659,1,23,11,11,4,0,5,2,0,3,0,25,4,3
1662,1,20,32,11,4,0,9,4,0,0,3,11,9,5
1669,0,20,32,11,5,0,8,4,0,1,3,11,7,5
1675,0,20,24,11,5,0,7,4,0,1,1,11,12,5
1677,1,20,46,11,5,0,5,5,0,3,3,11,4,2
1682,0,33,15,11,4,0,7,4,0,1,1,24,4,2
1683,1,29,51,11,5,0,5,4,0,2,0,25,6,4
1686,0,21,5,11,3,0,5,4,0,0,3,7,6,2
1701,1,28,25,11,4,0,7,1,0,0,1,9,10,3
1705,0,25,24,11,4,0,7,5,0,3,1,22,11,3
1709,0,22,5,11,3,0,8,2,0,0,0,25,4,2
1746,0,24,40,11,1,0,7,3,0,0,1,0,3,1
1747,1,19,21,11,1,0,5,4,0,2,1,11,3,3
1750,1,32,50,11,3,0,5,3,0,1,3,23,7,5
1756,0,25,48,11,1,0,9,4,0,0,0,1,10,1
1760,0,25,5,11,5,0,8,3,0,2,3,1,6,4
1762,1,21,16,11,4,0,8,1,0,1,3,10,4,2
1769,0,28,32,11,1,0,9,2,0,2,1,6,9,3
1770,1,20,9,11,3,0,8,2,0,2,1,11,10,4
1782,1,26,40,11,4,0,5,5,0,3,3,5,3,1
1795,0,19,24,11,5,0,6,5,0,0,3,11,10,5
1801,1,25,18,11,2,0,7,3,0,0,0,15,9,4
1802,0,33,15,11,3,0,5,5,0,1,3,24,11,1
1803,0,20,25,11,2,0,8,5,0,2,1,11,10,1
1809,1,22,46,11,3,0,6,3,0,0,3,5,7,4
1812,1,26,14,11,2,0,9,4,0,0,3,3,5,1
1813,0,20,6,11,2,0,8,3,0,0,0,11,11,2
1822,1,23,16,11,1,0,7,3,0,2,3,17,2,3
1835,1,33,16,11,1,0,9,3,0,0,0,10,0,5
1843,0,20,15,11,4,0,7,3,0,0,1,11,9,3
1848,0,29,50,11,5,0,5,3,0,1,3,13,11,1
1850,1,33,32,11,1,0,6,1,0,3,1,21,8,2
1856,1,26,1,11,1,0,9,4,0,3,0,20,7,4
1857,0,27,45,11,1,0,5,4,0,0,0,3,0,1
1864,0,34,49,11,5,0,5,2,0,1,0,14,9,1
1871,1,34,18,11,4,0,5,4,0,3,1,14,10,1
1876,0,20,15,11,3,0,9,2,0,2,1,11,9,5
1877,1,28,2,11,5,0,8,4,0,3,3,0,11,1
1881,1,28,5,11,3,0,8,4,0,1,3,19,11,4
1891,0,23,17,11,3,0,5,4,0,1,3,25,11,1
1895,0,34,1,11,2,0,8,4,0,2,1,4,4,5
1897,0,20,40,11,3,0,9,5,0,1,0,11,2,1
1908,0,25,14,11,4,0,5,2,0,0,1,0,11,1
1911,1,26,5,11,4,0,8,3,0,0,1,13,6,5
1922,1,18,24,11,3,0,9,2,0,2,3,11,11,4
1925,0,24,46,11,3,0,5,2,0,1,0,7,9,4
1928,1,28,24,11,1,0,8,2,0,3,3,0,11,3
1930,1,34,16,11,3,0,6,5,0,1,3,7,8,3
1932,1,23,37,11,3,0,8,2,0,2,1,2,6,2
1944,1,27,5,11,3,0,6,4,0,0,3,10,11,2
1952,0,19,1,11,1,0,5,2,0,3,3,11,3,2
1960,1,32,29,11,3,0,5,4,0,2,3,4,8,1
1961,0,20,48,11,1,0,7,5,0,3,1,11,11,5
1965,1,25,24,11,3,0,6,4,0,3,0,16,9,4
1969,0,24,21,11,5,0,7,1,0,2,3,1,2,4
1970,0,22,38,11,5,0,7,2,0,2,3,2,5,2
1985,1,27,25,11,3,0,7,2,0,3,0,0,6,5
1988,0,18,38,11,5,0,9,3,0,2,1,11,6,1
1995,1,23,40,11,1,0,7,5,0,3,0,15,9,2
2002,0,29,21,11,5,0,8,4,0,1,1,10,8,3
2006,0,18,5,11,1,0,9,1,0,1,3,11,8,2
2007,0,31,15,11,2,0,7,3,0,2,1,20,3,1
2011,0,33,29,11,5,0,9,5,0,3,3,1,9,5
2012,1,33,9,11,4,0,5,4,0,0,1,2,5,1
2018,0,34,29,11,1,0,9,3,0,2,3,14,9,1
2024,1,28,44,11,1,0,9,4,0,1,0,3,0,5
2030,1,20,44,11,4,0,9,3,0,0,1,11,11,1
2035,1,25,32,11,3,0,7,5,0,1,3,10,11,2
2039,0,21,21,11,5,0,7,5,0,0,3,10,1,2
2040,0,29,44,11,5,0,9,4,0,2,0,27,11,5
2042,0,33,9,11,4,0,5,3,0,2,0,13,10,4
2045,0,33,25,11,3,0,5,3,0,1,0,2,2,4
2046,0,21,50,11,1,0,9,5,0,0,1,0,0,4
2051,0,29,6,11,4,0,5,2,0,1,3,9,11,2
2060,1,31,8,11,1,0,7,1,0,3,0,1,12,3
2063,1,24,5,11,1,0,9,4,0,1,1,18,6,1
2068,0,19,49,11,5,0,8,1,0,0,0,11,6,2
2078,1,25,38,11,3,0,10,3,0,3,3,6,10,3
2086,1,27,29,11,2,0,9,5,0,1,3,25,6,1
2088,0,31,44,11,3,0,9,3,0,1,0,2,12,5
2097,0,28,51,11,4,0,7,1,0,1,0,8,1,4
2104,1,34,50,11,3,0,8,4,0,0,0,22,7,2
2105,0,31,48,0,5,0,6,3,0,2,1,10,8,1
2108,1,20,15,11,3,0,8,1,0,1,0,11,9,2
2120,0,18,32,11,4,0,7,3,0,2,1,11,8,5
2127,0,20,24,11,4,0,6,1,0,1,1,11,10,4
2140,1,24,2,11,4,0,9,3,0,2,0,2,6,2
2143,0,28,24,11,3,0,8,3,0,2,0,19,1,2
2146,0,19,8,11,5,0,5,4,0,2,0,11,3,5
2147,1,28,33,11,1,0,5,1,0,0,1,4,8,5
2150,1,28,17,11,1,0,9,5,0,1,3,19,12,5
2161,0,28,44,11,1,0,9,5,0,2,0,0,8,1
2171,0,19,6,11,1,0,7,2,0,2,3,11,11,1
2182,1,28,44,11,2,0,8,2,0,2,3,20,6,1
2183,0,21,49,11,3,0,9,1,0,2,3,14,5,5
2198,0,19,44,11,1,0,5,4,0,0,0,11,10,3
2203,1,29,21,11,4,0,9,1,0,2,3,7,8,2
2204,1,32,18,11,2,0,7,5,0,1,0,17,5,1
2207,1,26,18,11,4,0,6,2,0,2,3,11,12,4
2211,1,22,44,11,2,0,6,4,0,3,1,9,7,4
2226,0,24,6,11,2,0,5,1,0,0,1,17,2,4
2233,1,28,44,11,5,0,7,4,0,1,0,17,5,4
2238,1,34,14,11,3,0,7,3,0,3,0,15,5,1
2250,1,20,44,11,3,0,7,4,0,1,3,11,11,3
2255,0,32,24,11,2,0,6,4,0,1,1,12,11,3
2256,0,20,44,11,3,0,9,3,0,1,1,11,2,4
2260,1,18,16,11,3,0,6,3,0,0,1,11,11,4
2267,0,25,11,11,1,0,8,2,0,3,3,25,7,1
2270,1,29,51,11,3,0,9,3,0,2,1,25,2,1
2288,1,27,33,11,5,0,8,2,0,2,0,6,6,4
2290,0,34,17,11,3,0,8,3,0,1,0,14,2,4
2293,1,32,40,11,1,0,9,3,0,2,0,0,2,5
